,employee_id,age,attrition,businesstravel,$_dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,$_hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,$_monthlyincome,$_monthlyrate,numcompaniesworked,overtime,%_percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,$_salary,remotework
16,17,58,Yes,travel_rarely,1985.7,None,2,4,None,4,male,248.21458747665315,3,5, research director ,2,single,16038.33,41699.67,7,yes,12,3.0,4,full time,0,40.0,2,3.0,31,None,13,8,1965,192460.0,no
17,18,46,No,travel_rarely,1582.77,None,2,3,None,3,female,169.13640235445635,3,4, manager ,1,None,12783.92,33238.2,8,no,23,4.0,1,part time,0,28.0,2,3.0,26,None,15,9,1977,131145.1935065136,no
18,19,35,No,non_travel,556.26,None,13,5,life sciences,2,male,81.39794522623852,4,2, research scientist ,1,married,4492.84,11681.39,1,no,11,3.0,4,part time,0,11.528696248573535,2,3.0,16,None,1,10,1988,63115.61504743327,no
19,20,40,No,travel_rarely,1032.49,None,15,3,life sciences,1,female,118.33794081979954,2,3, manufacturing director ,3,None,8339.32,21682.23,1,no,13,3.0,4,part time,2,18.0,2,2.7678562030011498,18,None,14,12,1983,91757.71576217383,yes
20,21,45,No,non_travel,1108.92, research & development ,1,1,None,3,male,138.6152495486158,2,3, healthcare representative ,3,None,8956.67,23287.33,3,no,23,4.0,4,full time,1,25.0,3,2.0,23,None,14,4,1978,107480.0,no
21,22,33,No,non_travel,1032.49,None,1,2,life sciences,1,female,129.06055884503064,3,3, research director ,4,single,8662.244668645364,21682.23,1,yes,12,3.0,3,part time,0,15.0,1,3.0,15,None,8,12,1990,100071.84,yes
22,23,36,No,non_travel,1032.49,None,8,3,None,3,female,129.06063591942123,3,3, healthcare representative ,3,divorced,8662.238384624567,21682.23,1,no,13,3.1423763530197117,2,part time,3,17.0,2,3.0,17,None,12,8,1987,100071.84,yes
23,24,47,No,non_travel,1728.38,None,2,2,other,3,female,216.05,3,4, manager ,4,married,14367.178363797366,36296.0,1,no,11,3.0,3,full time,1,25.921761040024617,3,2.0,26,None,3,0,1976,167520.0,no
24,25,36,No,travel_rarely,639.79,None,42,2,life sciences,42,male,79.97,3,2, sales executive ,4,None,5167.5,13435.5,1,no,14,3.0,4,full time,1,18.0,1,2.7544629754167924,18,None,4,11,1987,62010.0,yes
25,26,35,No,non_travel,1032.49,None,9,3,life sciences,4,female,129.06,2,3, manufacturing director ,3,married,8662.238394323072,21682.23,1,yes,20,4.0,2,part time,1,17.0,2,3.0,17,None,5,15,1988,100071.84,no
26,27,52,Yes,non_travel,2047.5,None,2,1,None,1,female,255.93963450783608,1,5, manager ,4,married,16983.308359926727,42997.5,1,no,15,3.0,4,full time,1,33.0,3,3.0,32,None,6,9,1971,198450.0,yes
27,28,36,No,non_travel,556.26,None,2,4,life sciences,3,female,69.5310068679354,3,2, manufacturing director ,2,single,4492.84,11681.39,9,yes,11,3.0,4,part time,0,18.0,2,3.0,16,None,5,12,1987,53914.11,no
28,29,33,No,travel_rarely,556.26,None,28,4,life sciences,2,male,69.53,3,2, laboratory technician ,3,married,4492.84,11681.39,1,no,12,3.0,2,part time,1,15.0,3,3.0,15,None,5,7,1990,53914.11,yes
29,30,34,No,non_travel,412.8, sales ,10,3,life sciences,4,male,51.598751314986856,3,2, sales executive ,3,None,3334.17,8668.83,1,yes,14,3.0,3,part time,1,15.0,3,3.0,15,None,0,7,1989,40010.0,yes
30,31,41,No,non_travel,1077.87, sales ,37,1,None,37,female,134.7329522007996,3,3, sales executive ,3,divorced,8705.83,22635.17,0,no,13,3.0,4,full time,1,17.11407287467912,3,4.0,22,None,13,5,1982,104470.0,yes
31,32,47,No,non_travel,1032.49, research & development ,25,3,medical,1,male,145.18943337563917,3,3, healthcare representative ,3,None,8339.32,21682.23,2,no,23,4.0,2,part time,0,25.0,3,3.0,17,None,12,11,1976,112577.45076637111,yes
32,33,53,No,travel_rarely,1973.98,None,5,3,None,3,female,246.75,3,5, manager ,3,None,15943.72,41453.67,4,no,11,3.0,4,full time,1,26.0,3,2.0,14,None,4,8,1970,191324.62,yes
33,34,35,No,non_travel,556.26,None,1,4,marketing,3,male,69.53,2,2, sales executive ,1,single,4492.84,11681.39,0,no,14,3.1559476825808095,2,part time,0,16.0,2,3.0,15,None,2,8,1988,53914.11,no
34,35,34,No,travel_rarely,556.26,None,6,4,other,1,female,100.30847270376752,3,2, research scientist ,3,single,4492.84,11681.39,1,no,14,3.0,3,part time,0,16.0,3,3.0,16,None,2,10,1989,77778.21552320589,yes
35,36,46,No,travel_rarely,1032.49,None,1,2,None,2,female,129.06090704814528,3,3, sales executive ,1,divorced,8339.32,21682.23,1,no,25,4.0,3,part time,3,24.0,2,3.0,24,None,15,7,1977,100071.84,yes
36,37,43,No,non_travel,1657.4,None,16,3,None,4,female,207.17,3,4, manager ,4,married,13785.25957538021,34805.33,5,no,22,4.0,3,full time,1,22.0,3,3.0,17,None,1,9,1980,160640.0,yes
37,38,36,No,non_travel,331.19, research & development ,6,3,life sciences,4,male,41.397255503506216,3,1, laboratory technician ,4,married,2675.0,6955.0,0,no,11,3.0,3,full time,1,16.0,4,3.0,15,None,10,11,1987,32100.0,yes
38,39,60,No,travel_frequently,1059.19,None,28,3,None,3,female,132.39877824332973,2,3, sales executive ,1,married,8555.0,22243.0,4,no,19,3.0,4,full time,0,22.0,5,4.0,18,13.0,13,11,1963,102660.0,yes
39,40,40,No,travel_frequently,1080.75,None,5,4,None,4,male,135.09418280745038,2,3, sales executive ,1,married,8729.17,22695.83,5,yes,21,4.0,3,full time,1,20.0,2,3.0,18,None,1,12,1983,104750.0,no
40,41,32,No,travel_rarely,635.76,None,4,3,None,3,female,79.4691506531418,2,2, manufacturing director ,3,married,5409.875690077231,13351.0,1,no,12,3.0,3,full time,1,14.0,3,3.0,14,None,6,8,1991,61620.0,no
41,42,41,No,travel_rarely,487.09,None,35,3,None,35,male,60.89,3,1, laboratory technician ,1,single,3934.17,10228.83,2,yes,13,3.159797756976805,3,full time,0,20.0,3,3.0,18,None,2,17,1982,47210.0,yes
42,43,53,No,non_travel,1582.77,None,2,2,medical,3,male,197.8473166557102,3,4, manager ,3,divorced,12783.92,33238.2,6,no,13,3.0,3,full time,1,22.0,3,4.0,17,None,15,2,1970,153407.07,no
43,44,36,Yes,travel_rarely,290.04,None,16,4,None,3,female,36.25,4,1, laboratory technician ,1,single,2575.582246424358,6090.75,1,no,16,3.0,3,part time,0,18.0,1,3.0,17,None,15,14,1987,28111.13,yes
44,45,46,No,non_travel,476.15,None,8,4,life sciences,4,female,59.51729185870116,2,2, research scientist ,1,divorced,3845.83,9999.17,8,yes,23,4.0,1,part time,3,8.822797250718786,2,3.0,16,None,1,7,1977,46150.0,no
45,46,38,No,travel_rarely,556.26,None,1,4,None,4,male,69.53092999038878,3,2, sales executive ,2,married,4492.84,11681.39,0,no,15,3.0,1,part time,2,16.0,3,2.7523327166051654,15,None,5,8,1985,53914.11,yes
46,47,51,No,non_travel,1032.49,None,1,4,None,1,female,129.0608638882523,2,3, healthcare representative ,1,single,8339.32,21682.23,3,no,20,4.0,3,part time,0,23.0,1,2.0,13,None,12,8,1972,100071.84,yes
47,48,43,No,non_travel,1749.74,None,26,2,None,3,male,218.71856825923297,3,4, manager ,4,married,14132.5,36744.5,1,yes,12,3.0,4,full time,2,25.0,3,4.0,25,None,4,12,1980,169590.0,yes
48,49,37,No,non_travel,290.04,None,1,3,life sciences,4,female,36.25243701114161,3,1, research scientist ,4,single,2575.6194414766396,6090.75,1,no,12,3.0,2,part time,0,6.168905976724384,3,3.0,17,None,5,7,1986,28111.13,yes
49,50,32,No,travel_rarely,556.26,None,8,2,technical degree,3,female,69.53070013402396,2,2, sales executive ,2,married,4758.1014939027,11681.39,1,yes,11,3.0,4,part time,0,9.824930754567006,2,3.0,13,12.0,11,9,1991,53914.11,yes
50,51,38,No,non_travel,1032.49,None,1,3,None,4,female,129.06055634842232,3,3, research director ,1,married,8339.32,21682.23,1,no,13,3.0,2,part time,1,15.0,3,3.0,15,None,5,11,1985,100071.84,no
51,52,46,No,non_travel,1582.77,None,3,3,life sciences,3,female,197.84735442722044,3,4, manager ,2,None,12783.92,33238.2,8,no,12,3.0,4,full time,1,23.0,2,4.0,13,None,5,1,1977,153407.07,yes
52,53,35,Yes,travel_rarely,1063.32,None,10,3,medical,4,male,106.88371541712029,2,3, sales executive ,1,married,8588.33,22329.67,9,no,17,3.0,3,part time,0,15.0,3,2.769328941219978,13,None,6,0,1988,82876.4934997118,no
53,54,43,No,non_travel,1973.98,None,6,3,medical,1,female,150.97954345718992,2,5, manager ,3,married,15943.72,41453.67,7,no,13,3.0,4,part time,0,21.0,2,3.0,16,None,6,14,1980,117067.0315125914,yes
54,55,56,No,non_travel,556.26,None,1,4,life sciences,3,male,79.88085465676421,3,2, healthcare representative ,3,divorced,4492.84,11681.39,1,no,21,3.1503066740703987,1,part time,1,11.323898114400624,2,2.0,13,None,1,9,1967,61939.31137900405,yes
55,56,36,No,non_travel,557.76,None,15,4,marketing,4,male,69.71886252978284,1,2, sales executive ,4,divorced,4505.0,11713.0,1,no,24,4.0,1,full time,1,9.947361061214238,4,2.0,15,None,11,11,1987,54060.0,yes
56,57,38,No,non_travel,556.26,None,6,3,medical,2,female,69.5309711470512,1,2, research scientist ,4,None,4758.078939953916,11681.39,7,no,12,3.0,4,part time,3,17.0,3,3.0,13,None,1,9,1985,53914.11,yes
57,58,49,No,non_travel,556.26,None,26,4,medical,3,female,69.53,3,2, manufacturing director ,1,None,4758.082052497105,11681.39,1,no,14,3.0,3,part time,0,16.0,2,2.0,15,None,5,11,1974,53914.11,no
58,59,39,No,travel_rarely,608.94,None,4,4,life sciences,4,female,76.11604506709293,2,2, sales executive ,3,married,4918.33,12787.67,4,no,14,3.0,3,full time,1,17.0,1,4.0,15,None,5,9,1984,59020.0,yes
59,60,40,No,non_travel,1119.96,None,4,4,None,3,male,140.0,2,3, sales executive ,4,married,9379.352878466805,23519.17,7,no,11,3.1388152763698587,1,full time,1,15.0,2,2.0,12,None,2,11,1983,108550.0,yes
60,61,36,No,non_travel,610.17,None,5,2,None,4,male,76.27077139545065,3,2, laboratory technician ,2,single,4928.33,12813.67,8,no,16,3.0,4,full time,0,16.0,3,4.0,13,None,3,7,1987,59140.0,yes
61,62,37,No,non_travel,556.26,None,25,5,None,2,female,69.53089560407928,3,2, research scientist ,3,married,4758.085225596235,11681.39,3,yes,15,3.0,1,part time,2,15.0,2,3.0,13,None,10,7,1986,53914.11,no
62,63,35,No,non_travel,685.7,None,6,4,None,2,male,85.71121406844388,1,2, research scientist ,4,None,5538.33,14399.67,1,no,13,3.0,2,full time,0,11.71024376734401,3,3.0,17,None,11,8,1988,66460.0,yes
63,64,33,No,travel_frequently,556.26,None,6,3,life sciences,3,male,69.53089353276981,3,2, healthcare representative ,4,divorced,4492.84,11681.39,3,no,23,4.0,3,part time,1,15.0,2,1.0,13,None,4,7,1990,53914.11,no
64,65,50,No,travel_rarely,1441.66, research & development ,24,3,None,4,male,180.20798558542975,3,4, manufacturing director ,3,married,12016.628959196903,30274.83,3,yes,18,3.0,4,full time,1,22.0,2,3.0,12,None,1,5,1973,139730.0,no
65,66,48,No,travel_rarely,1032.49,None,4,4,None,3,male,129.06101368114264,2,3, healthcare representative ,3,single,8662.20695646259,21682.23,7,no,14,3.14673310322815,2,part time,0,27.0,3,3.0,15,11.0,4,8,1975,100071.84,yes
66,67,44,No,travel_rarely,1374.29, sales ,28,3,None,4,female,98.98035203161739,4,4, sales executive ,4,married,11100.0,28860.0,3,no,18,3.0,3,part time,1,11.369741557367195,2,3.0,12,None,11,11,1979,76748.52127780394,yes
67,68,44,No,travel_rarely,556.26,None,29,4,None,4,male,69.53,3,2, research scientist ,4,single,4758.101493024596,11681.39,1,no,25,4.0,2,part time,0,9.824933848528694,3,3.0,20,None,13,17,1979,53914.11,yes
68,69,40,No,non_travel,556.26,None,25,1,None,25,female,69.53090636020998,4,2, healthcare representative ,3,None,4758.085236985209,11681.39,5,no,20,4.0,2,part time,3,15.0,0,3.0,12,None,11,8,1983,53914.11,yes
69,70,34,No,travel_rarely,689.93,None,2,4,None,3,female,86.24,3,2, healthcare representative ,4,single,5572.5,14488.5,1,no,11,3.0,4,full time,0,14.0,2,4.0,14,None,4,11,1989,66870.0,yes
70,71,35,No,non_travel,556.26, research & development ,8,4,None,3,female,69.53070192374665,3,2, healthcare representative ,3,None,4492.84,11681.39,1,no,12,3.0,4,part time,1,9.926608529498209,5,3.0,14,None,2,9,1988,53914.11,yes
71,72,50,No,non_travel,1032.49,None,17,5,life sciences,4,female,129.06061040388272,2,3, research director ,1,None,8662.240368781799,21682.23,5,no,15,3.0,3,part time,3,16.365020487185866,3,3.0,14,11.0,1,11,1973,100071.84,no
72,73,49,No,non_travel,1582.77,None,6,1,life sciences,3,female,197.85,2,4, healthcare representative ,3,None,12783.92,33238.2,2,no,19,3.0,2,full time,1,24.071409544152,3,3.0,15,None,2,12,1974,153407.07,yes
73,74,38,No,travel_frequently,488.53,None,1,3,life sciences,4,male,61.07,3,2, research scientist ,4,None,4202.860507462441,10259.17,7,no,15,3.0,4,part time,2,19.0,4,2.749532581662564,13,None,2,9,1985,47350.0,yes
74,75,33,No,non_travel,290.04,None,21,3,None,2,male,36.25273142642206,4,1, laboratory technician ,2,None,2575.59481031351,6090.75,1,no,18,3.0,4,part time,3,14.0,6,2.744491541212027,14,None,2,13,1990,28111.13,yes
75,76,47,No,travel_rarely,1032.49,None,4,3,life sciences,3,female,129.06061410628388,2,3, manufacturing director ,2,divorced,8339.32,21682.23,8,yes,12,3.141652865990839,3,part time,1,16.488800008837526,4,3.0,22,None,14,10,1976,100071.84,yes
76,77,38,No,non_travel,556.26, research & development ,8,3,None,4,female,116.46764216617403,2,2, research scientist ,2,divorced,4492.84,11681.39,1,no,16,3.0,3,part time,1,20.0,3,3.0,20,None,0,7,1985,90307.49831867863,no
77,78,37,No,travel_rarely,1032.49,None,10,3,life sciences,3,female,129.0606048760632,4,3, research director ,4,None,8339.32,21682.23,1,yes,25,4.0,1,part time,1,16.0,2,3.0,16,None,6,8,1986,100071.84,yes
78,79,30,No,non_travel,556.26,None,2,3,None,3,male,69.53074617653495,2,2, healthcare representative ,4,married,4758.097798636847,11681.39,1,no,19,3.154181791684823,1,part time,3,11.0,3,3.0,11,None,10,8,1993,53914.11,yes
79,80,58,No,travel_rarely,1431.24,None,18,4,None,4,male,178.90598382106,3,4, sales executive ,3,single,11560.0,30056.0,0,no,13,3.0,3,full time,0,38.0,1,2.0,37,None,1,8,1965,138720.0,yes
80,81,34,No,travel_rarely,1032.49,None,5,3,None,3,female,102.4648137301853,2,3, manager ,1,single,8339.32,21682.23,2,no,12,3.0,4,part time,0,14.0,6,3.0,11,None,5,8,1989,79450.22181699534,no
81,82,58,Yes,travel_rarely,1032.49,None,23,4,medical,4,female,129.0614952477961,3,3, healthcare representative ,4,married,8339.32,21682.23,1,no,12,3.0,4,part time,1,40.0,3,2.0,40,None,15,6,1965,100071.84,yes
82,83,38,No,non_travel,1032.49,None,3,3,life sciences,1,male,90.37673317549088,3,3, sales executive ,3,divorced,8339.32,21682.23,0,no,12,3.0,3,part time,2,11.266453774766017,6,2.0,16,None,5,13,1985,70077.52261995748,yes
83,84,29,No,travel_frequently,1032.49,None,1,1,None,2,female,129.06040526238127,3,3, sales executive ,4,married,8339.32,21682.23,1,no,14,3.0,4,part time,1,11.0,5,3.0,11,None,4,1,1994,100071.84,yes
84,85,55,No,travel_rarely,1964.96,None,1,3,medical,4,male,245.62,3,5, manager ,1,single,15870.83,41264.17,0,no,14,3.0,3,full time,0,37.0,2,3.0,36,None,4,13,1968,190450.0,yes
85,86,41,No,non_travel,1652.34,None,10,4,None,4,male,104.95676196806879,3,4, manager ,2,None,13345.83,34699.17,1,no,19,3.0,2,part time,0,11.315711502978937,2,3.0,22,None,0,4,1982,81382.46230531856,yes
86,87,39,No,travel_rarely,991.82, research & development ,1,3,None,3,male,123.98,4,3, healthcare representative ,4,None,8010.83,20828.17,0,no,17,3.143943569745245,1,part time,3,19.0,5,2.0,18,None,3,7,1984,96130.0,no
87,88,38,No,non_travel,1187.54,None,15,2,life sciences,3,male,148.44,2,3, research director ,4,None,9933.360642295967,24938.33,0,no,14,3.0,2,full time,1,18.494360769876792,3,3.0,11,None,2,9,1985,115100.0,yes
88,89,43,No,non_travel,1582.77,None,12,3,None,1,male,197.84738835217453,2,4, research director ,2,None,12783.92,33238.2,1,no,11,3.0,3,full time,1,24.07141155507398,3,2.78555796961925,25,None,3,9,1980,153407.07,yes
89,90,31,No,non_travel,444.27,None,30,2,None,2,female,83.26783464605474,3,2, manufacturing director ,1,married,3588.33,9329.67,1,no,12,3.0,2,part time,1,13.0,5,1.0,13,None,3,12,1992,64565.44938385711,yes
90,91,50,No,travel_rarely,1758.71, research & development ,27,4,life sciences,27,male,219.84071590942395,2,4, manager ,3,married,14205.0,36933.0,0,no,15,3.0,2,full time,1,28.0,2,3.0,27,None,15,7,1973,170460.0,yes
91,92,35,No,non_travel,1032.49,None,25,3,technical degree,4,male,129.06,2,3, manufacturing director ,2,married,8339.32,21682.23,3,no,16,3.1416471021070644,1,part time,0,16.488800008654167,2,3.0,13,None,4,8,1988,100071.84,no
92,93,47,No,non_travel,522.79,None,16,4,None,3,male,115.43361999793039,4,2, manufacturing director ,3,None,4222.5,10978.5,1,yes,19,3.0,3,part time,0,20.0,3,2.7524058649502736,19,None,2,7,1976,89505.74706385321,yes
93,94,35,No,non_travel,1032.49, research & development ,25,4,None,3,female,129.06,3,3, healthcare representative ,3,divorced,8339.32,21682.23,1,yes,11,3.141606074814776,3,part time,1,16.488809389266187,3,2.0,16,None,10,1,1988,100071.84,yes
94,95,40,No,travel_rarely,1032.49,None,20,4,None,1,male,129.06,3,3, healthcare representative ,4,married,8662.247822798956,21682.23,4,no,20,4.0,4,part time,1,14.0,6,3.0,11,None,11,1,1983,100071.84,yes
95,96,45,No,non_travel,556.26, sales ,9,4,life sciences,2,female,69.53089355340462,2,2, sales executive ,3,married,4492.84,11681.39,1,no,13,3.0,4,part time,1,15.0,2,3.0,15,None,4,12,1978,53914.11,no
96,97,33,No,non_travel,290.04, research & development ,9,3,medical,1,male,36.25277057468545,3,1, research scientist ,4,married,2575.5916752026656,6090.75,0,no,13,3.0,2,part time,1,15.0,5,3.0,14,None,4,10,1990,28111.13,no
97,98,36,No,travel_frequently,380.92,None,3,3,None,3,male,47.61345704047257,3,1, research scientist ,2,married,3076.67,7999.33,1,no,12,3.0,3,full time,0,12.0,2,2.0,11,None,0,7,1987,36920.0,no
98,99,45,Yes,non_travel,1973.98,None,13,3,marketing,1,female,246.75,1,5, manager ,2,None,15943.72,41453.67,2,yes,16,3.0,1,full time,0,26.0,2,3.0,24,None,1,11,1978,191324.62,yes
99,100,51,No,travel_frequently,2047.71,None,27,3,None,27,male,255.96,3,5, manager ,2,None,16985.008570515587,43001.83,4,yes,24,3.117377078715812,1,full time,1,30.30706753709287,5,2.0,29,None,11,10,1972,198470.0,no
100,101,34,No,travel_rarely,238.13,None,7,2,technical degree,2,male,29.764015419676237,3,1, sales representative ,3,None,2150.053028121299,5000.67,0,yes,25,4.0,2,part time,1,12.0,4,3.0,11,None,5,7,1989,23080.0,no
101,102,43,No,travel_rarely,1582.77, research & development ,15,2,None,3,male,197.84739763553912,2,4, research director ,3,None,13173.470565085727,33238.2,1,no,24,4.0,1,full time,1,23.922093434922413,3,3.0,14,None,6,11,1980,153407.07,yes
102,103,34,No,non_travel,556.26,None,5,2,medical,2,male,69.53070060328584,2,2, laboratory technician ,4,None,4492.84,11681.39,1,no,14,3.0,3,part time,1,9.926610828464653,3,2.7549269025580854,15,None,4,13,1989,53914.11,no
103,104,38,No,non_travel,290.04,None,2,3,None,1,male,36.25269323027292,3,1, human resources ,2,divorced,2342.59,6090.75,5,no,13,3.0,4,part time,3,13.0,3,3.0,11,None,3,8,1985,28111.13,yes
104,105,48,No,non_travel,1973.98,None,10,3,None,4,male,246.7498748370721,2,5, research director ,2,None,16380.63488897503,41453.67,4,no,12,3.0,4,full time,0,29.0,3,3.0,22,None,12,9,1975,191324.62,no
105,106,34,No,non_travel,592.94, research & development ,22,4,other,3,male,74.11696561728992,2,2, research scientist ,4,married,4789.17,12451.83,1,yes,15,3.0,2,full time,0,16.0,3,3.0,15,None,6,11,1989,57470.0,no
106,107,32,No,travel_rarely,1075.29,None,31,4,None,31,female,134.41,3,3, sales executive ,4,None,8685.0,22581.0,1,no,19,3.0,3,full time,2,14.0,3,3.0,14,None,5,7,1991,104220.0,yes
107,108,29,No,travel_rarely,1032.49,None,21,4,life sciences,2,female,86.30564426777872,4,3, manufacturing director ,1,divorced,8339.32,21682.23,1,no,11,3.0,3,part time,1,10.0,1,3.0,10,None,8,8,1994,66920.93902152254,no
108,109,46,No,non_travel,1032.49,None,1,3,medical,3,male,129.06078008556344,2,3, healthcare representative ,1,married,8662.225781542018,21682.23,2,yes,13,3.0,3,part time,1,21.0,5,2.0,10,None,9,5,1977,100071.84,no
109,110,30,No,non_travel,654.85, human resources ,9,3,None,3,male,81.85498174786598,3,2, human resources ,4,married,5289.17,13751.83,0,yes,19,3.0,4,full time,0,11.28517507261143,2,1.0,11,None,4,7,1993,63470.0,no
110,111,45,No,non_travel,242.25,None,9,3,life sciences,2,male,30.280184011540427,3,2, laboratory technician ,2,None,1956.67,5087.33,8,no,18,3.0,3,part time,1,20.0,2,2.7394056961772058,17,None,0,15,1978,23480.0,yes
111,112,30,No,travel_rarely,1032.49,None,5,3,None,2,female,129.06,3,3, sales executive ,4,None,8339.32,21682.23,2,no,12,3.0,3,part time,1,16.48879957042434,2,3.0,10,None,7,4,1993,100071.84,yes
112,113,30,No,non_travel,316.95,None,9,3,None,3,male,39.61732083664344,3,2, laboratory technician ,1,None,2796.267166127997,6656.0,1,no,11,3.1618632131742013,3,part time,2,12.0,4,3.0,12,None,6,10,1993,30720.0,yes
113,114,34,No,travel_frequently,556.26,None,29,1,None,4,male,74.81259060959835,2,2, manufacturing director ,3,married,4492.84,11681.39,1,no,17,3.0,3,part time,0,10.0,2,2.0,10,None,1,9,1989,58009.55121294522,no
114,115,51,No,travel_rarely,1288.65,None,8,4,life sciences,2,male,161.08148195796207,2,3, research director ,2,married,10408.33,27061.67,5,no,16,3.0,4,full time,2,16.0,5,1.0,10,None,4,7,1972,124900.0,no
115,116,34,No,non_travel,556.26,None,39,4,life sciences,39,male,69.53,2,2, manufacturing director ,1,None,4492.84,11681.39,6,no,13,3.0,2,part time,1,13.0,3,3.0,11,None,5,9,1989,53914.11,yes
116,117,35,No,travel_rarely,827.46,None,16,3,None,3,male,103.43170905947676,3,3, sales executive ,2,married,6683.33,17376.67,0,no,15,3.0,3,part time,2,12.0,3,2.0,11,None,6,9,1988,80200.0,yes
117,118,45,No,travel_frequently,1032.49,None,7,3,life sciences,1,male,129.06089629201466,3,3, laboratory technician ,1,None,8339.32,21682.23,1,no,18,3.0,1,part time,1,24.0,2,3.0,24,None,9,11,1978,100071.84,yes
118,119,39,No,non_travel,1760.98,None,10,1,None,3,male,220.12419018349468,3,4, manager ,1,married,14634.476065023546,36980.67,1,no,14,3.1220613485406052,4,full time,0,21.0,3,3.0,21,None,11,10,1984,170680.0,yes
