employee_id,age,attrition,businesstravel,$_dailyrate,department,distancefromhome,education,educationfield,environmentsatisfaction,gender,$_hourlyrate,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,$_monthlyincome,$_monthlyrate,numcompaniesworked,overtime,%_percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,totalworkingyears,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,$_salary,remotework
111,45,No,non_travel,242.25,,9,3,life sciences,2,male,,3,2, laboratory technician ,2,,1956.67,5087.33,8,no,18,3.0,3,part time,1,20.0,2,,17,,0,15,1978,23480.0,yes
112,30,No,travel_rarely,1032.49,,5,3,,2,female,129.06,3,3, sales executive ,4,,8339.32,21682.23,2,no,12,3.0,3,part time,1,,2,3.0,10,,7,4,1993,100071.84,yes
113,30,No,non_travel,316.95,,9,3,,3,male,,3,2, laboratory technician ,1,,,6656.0,1,no,11,,3,part time,2,12.0,4,3.0,12,,6,10,1993,30720.0,yes
114,34,No,travel_frequently,556.26,,29,1,,4,male,,2,2, manufacturing director ,3,married,4492.84,11681.39,1,,17,3.0,3,,0,10.0,2,2.0,10,,1,9,1989,,no
115,51,No,travel_rarely,1288.65,,8,4,life sciences,2,male,,2,3, research director ,2,married,10408.33,27061.67,5,no,16,3.0,4,full time,2,16.0,5,1.0,10,,4,7,1972,124900.0,no
116,34,No,non_travel,556.26,,39,4,life sciences,39,male,69.53,2,2, manufacturing director ,1,,4492.84,11681.39,6,,13,3.0,2,part time,1,13.0,3,3.0,11,,5,9,1989,53914.11,yes
117,35,No,travel_rarely,827.46,,16,3,,3,male,,3,3, sales executive ,2,married,6683.33,17376.67,0,,15,3.0,3,part time,2,12.0,3,2.0,11,,6,9,1988,80200.0,yes
118,45,No,travel_frequently,1032.49,,7,3,life sciences,1,male,,3,3, laboratory technician ,1,,8339.32,21682.23,1,,18,3.0,1,part time,1,24.0,2,3.0,24,,9,11,1978,100071.84,yes
119,39,No,non_travel,1760.98,,10,1,,3,male,,3,4, manager ,1,married,,36980.67,1,,14,,4,full time,0,21.0,3,3.0,21,,11,10,1984,170680.0,yes
120,31,No,non_travel,922.69,,7,2,,3,female,,2,3, manufacturing director ,3,married,7452.5,19376.5,1,no,24,4.0,1,part time,1,10.0,2,3.0,10,,8,9,1992,89430.0,no
121,39,No,non_travel,1988.38, research & development ,7,2,,3,male,,2,5, manager ,4,married,16060.0,41756.0,1,,15,3.0,1,full time,1,,2,3.0,21,,13,3,1984,192720.0,yes
122,45,No,travel_rarely,556.26,,8,4,,4,male,69.53,3,2, research scientist ,4,,4492.84,11681.39,9,no,14,3.0,1,part time,2,12.0,3,3.0,10,,9,8,1978,53914.11,yes
123,30,No,travel_rarely,556.26, sales ,5,3,marketing,4,female,,2,2, sales executive ,3,,4492.84,11681.39,1,,13,3.0,3,,3,10.0,2,3.0,10,,1,2,1993,,yes
124,31,No,non_travel,1032.49,,7,4,medical,3,female,129.06,3,3, manufacturing director ,4,,8339.32,21682.23,1,,14,3.0,3,part time,0,11.0,2,2.0,11,,4,10,1992,100071.84,no
125,36,No,non_travel,1032.49,,3,4,medical,1,male,,2,3, sales executive ,4,married,8339.32,21682.23,4,no,11,3.0,1,part time,1,16.0,2,3.0,13,,1,12,1987,100071.84,yes
126,36,No,travel_rarely,1032.49,,2,2,,2,male,,2,3, sales executive ,3,married,,21682.23,1,,13,3.0,2,part time,2,10.0,2,3.0,10,,9,0,1987,100071.84,yes
127,55,No,travel_rarely,1582.77,,18,5,,1,female,197.85,3,4, manager ,2,single,12783.92,33238.2,3,no,23,4.0,4,full time,0,37.0,2,3.0,10,,7,7,1968,153407.07,yes
128,35,No,non_travel,556.26,,1,3,,2,male,,3,2, sales executive ,3,,4492.84,11681.39,9,,11,3.0,3,part time,0,15.0,2,3.0,11,,6,9,1988,53914.11,yes
129,42,No,travel_rarely,1032.49,,24,3,medical,4,male,129.06,3,3, manufacturing director ,1,married,8339.32,21682.23,1,,21,4.0,4,part time,1,10.0,5,2.0,10,,5,8,1981,100071.84,no
130,52,No,travel_rarely,575.4,,6,2,,4,male,71.93,3,2, research scientist ,1,divorced,4647.5,12083.5,3,yes,12,,2,full time,2,18.0,3,3.0,10,,6,9,1971,55770.0,yes
131,49,No,non_travel,1973.98,,18,4,life sciences,4,male,246.75,2,5, research director ,3,,,41453.67,1,yes,17,3.0,3,full time,1,,5,3.0,31,,0,9,1974,191324.62,yes
132,34,No,travel_rarely,277.64, research & development ,1,5,,2,male,,3,1, research scientist ,4,married,2242.5,5830.5,1,no,12,3.0,4,part time,1,,4,2.0,10,,8,8,1989,26910.0,yes
133,33,Yes,travel_rarely,290.04,,1,4,other,4,male,,3,1, research scientist ,4,single,2342.59,6090.75,1,,13,3.0,3,part time,0,10.0,2,2.0,10,,7,8,1990,28111.13,no
134,33,No,non_travel,1032.49, research & development ,7,3,medical,3,male,,3,3, research director ,3,married,8339.32,21682.23,0,no,11,3.0,4,,0,,3,4.0,13,,3,7,1990,,yes
135,53,No,travel_rarely,1582.77,,23,4,,4,female,,3,4, research director ,4,,12783.92,33238.2,6,no,18,3.0,3,full time,0,33.0,0,3.0,12,,3,8,1970,153407.07,yes
136,49,No,travel_rarely,763.8,,8,2,other,1,female,,3,3, laboratory technician ,2,married,6169.17,16039.83,4,,11,3.0,3,part time,1,29.0,3,2.0,26,,1,7,1974,74030.0,no
137,35,No,non_travel,1032.49,,21,4,,21,male,129.06,3,3, sales executive ,4,,,21682.23,6,,13,3.0,2,part time,1,,2,3.0,10,,0,8,1988,100071.84,no
138,38,No,travel_rarely,910.31,,17,1,life sciences,3,female,113.79,2,3, healthcare representative ,3,married,7352.5,19116.5,0,,18,3.0,1,part time,1,20.0,4,2.0,19,,1,9,1985,88230.0,no
139,46,No,non_travel,1582.77, sales ,3,1,marketing,1,male,,3,4, manager ,3,married,12783.92,33238.2,3,no,12,3.0,4,full time,1,,3,3.0,12,,4,9,1977,153407.07,no
140,36,No,non_travel,556.26,,18,4,,1,male,69.53,3,2, manufacturing director ,4,single,4492.84,11681.39,2,,20,4.0,1,part time,0,18.0,0,3.0,11,,0,9,1987,53914.11,no
141,42,Yes,travel_frequently,1582.77,,15,3,life sciences,15,male,,3,4, sales executive ,1,single,,33238.2,0,,12,,2,full time,0,,2,2.0,21,,13,14,1981,153407.07,yes
